word,segmentation,related_words
siccative,sicc.ative,desiccated; desiccant; cissi; narcissism; sciss; abscissa; scissors; sicc
lubricant,,lubricate; lubricious
detergent,,
coagulate,co.ag.ul.ate,ag.ent; congeal
-agogue,,
galactagogue,galact.ago.gue,agog
emulsion,e.mul.sion,e.moll.ient; e.molu.ment
varnish,varn.ish,vern.acular; vain; vein
reagent,,agent
solvent,,dissolve; solve; resolve
ingredient,,
apparatus,ap.para.tus,as.para.gus; parr.ot
utensil,u.ten.sil,
testament,testament,commandment
indictment,in.dict.ment,in.dict; dict.ator
allegation,al.leg.ation,al.lege; al.leg.ory; indictment
ward,,boulevard; vard
warrant,,
writ,writ,write
subpoena,sub.poe.na,poem
ulcer,,
hysteria,,hyster.ic.al; ster
distraught,,over.wrought
furrow,,barrow
delirium,de.lir.ium,de.lir.ious; de.lu.sion
deranged,de.rang.ed,range; distraught
dysphoria,dys.phor.ia,a.phor.ism; eu.phor.ia; meta.phor; an.hedon.ia; a.phas.ia
stupor,,
hypocrite,hypo.crite,hypo.crisy; hypo.the.tical; hypo.dermic; hypo.thermia; criteria
hypnosis,hypno.sis,hypo; soporific; hypno
pluck,pluck,luck; prick
somnambulism,somn.ambul.ism,in.somn.ia; ambul.ance
convulsion,con.vul.sion,con.volu.tion; spasm
spasm,,spam
allergy,al.lergy,al.lergies
astigmatism,,a.stigma.tisim
myopia,,opium
fracture,fract.ure,re.fract.ory; re.fract; in.fract.ion; fract.ion
ailment,ail.ment,ail.ing
axle,,axis
fulcrum,ful.crum,simula.crum
prop,,
scaffold,scaf.fold,
pulley,pull.ey,pull.et
lather,lather,lathe
lathe,lathe,lather
dynamo,,
auger,,augur
pierce,pier.ce,fier.ce; pier
awl,,auger
nyctalopia,nyct.al.op.ia,nyct.al; op.ia; my.op.ia; nyct
insomnia,in.somn.ia,somn.ambulant; a.mnes.ia; sopor.ific; somnolent
asphyxia,a.sphyx.ia,sphyx.ia; sphygmus; Sphinx
asthma,asth.ma,mi.asma; al.lergy
paralysis,para.ly.sis,reparation
aphasia,a.phas.ia,em.phas.ize; dys.phor.ia; phase
dyspepsia,,
flatulence,flat.ul.ence,flat.us
anemia,an.em.ia,an.aem.ia; leukemia
amnesia,a.mnes.ia,a.mnes.ty; in.somn.ia
psychosis,,psycho.somatic; psychiatry
neurosis,neuro.sis,neur.al; neuro.logy; neuro.logic.al
scurvy,,scurf; scurfy
leucocyte,leu.co.cyte,leu.co; leu.ko; chole.cyt.itis; leuk.emia; cyte
leprosy,lep.rosy,epi.lepsy; leaf; rosy
hypochondria,hypo.chondr.ia,mito.chondr.ia; chondr.al; hypo.thesis; hypo.crite; hypnosis
metro,,
metro-,,metropolis; Metrobus
metrorrhagia,metro.rrh.agia,hemo.rrh.age
hemorrhage,hemo.rrh.age,hemo; catarrh; metrorrhagia
hemophilia,hemo.phil.ia,hemo; phil
oatmeal,,meal; cereal
oat,oat,oatmeal
-phor-,,
advent,,advert
-vent-,,
crunch,,crutch
rabies,ra.bi.es,ra.bi; rabid; rabbi
dipsomania,dip.so.mania,diphtheria
laryngitis,laryn.gitis,larynx
diphtheria,diph.ther.ia,ph.th.isis; dipso.mania; therapy
encephalitis,en.ce.phal.itis,ce.phal.ic; cerebr.um; cerebr.al; celebrate
cholecystitis,chole.cyst.itis,chole.ster.ol; cyte; cyst
mastitis,mast.itis,
bronchitis,bron.ch.itis,bron.ch; bron.chus; itis; brown; branch
gastritis,gastr.itis,gastr.onomy
pneumonia,,
nephritis,nephr.itis,nephew
jaundice,jaun.dice,aunt; dice
hepatitis,,
arthritis,arthr.itis,auth.or; Arth.ur
lithiasis,lith.ia.sis,ia.sis
sphinx,,
skit,skit,skid; skittish; tish
opium,,opiate; formal
melancholic,melan.chol.ic,chol.ic; chole.cyst; melan
languish,lan.gu.ish,an.gu.ish; n.adj
snigger,s.nigger,nigger
elicit,e.lic.it,il.lic.it; de.lic.ious; linqu; leave; elude; induce
inordinate,in.ordinate,extra.ordinary; sub.ordinate; co.ordinate; exordinate; exordianry
plastic,,plat
from afar,,
lira,,
taxidermy,taxidermy,taxonomy; epidermis; dermatology; epitome; hypodermic
indenture,,denture
covenant,cove.nant,al.cove; cover; covet
compact,,
probation,probation,probity; probate; reprobate; approbation
incorporate,in.corp.or.ate,in.corp.or.ation; corp.us; corp.se
jettison,jet.ti.son,
reciprocity,reci.pro.city,reci.pro.cal
plank,plank,plankton
tenor,ten.or,ten.et; tense
gist,,gait; pith
pith,pith,path; plinth
quintessence,quint.ess.ence,quint; ence; essence
marrow,mar.row,farrow; harrow; mallow; mellow
torpedo,,
torpid,torpid,torpedo
torpor,,
inane,,inert; inertia
pyromania,,pyre; pylon; arsonist
megalomania,mega.lo.mania,mega.watt; mega.byte; magn.ific.ent
kleptomania,,klept.mania; kept; larceny
idiopathy,,idiot; idiom; idiosyncrasy; idiopathic; disease; rare; orphan
gynephobia,gyne.phobia,gyne.cology; miso.gyn.ist
impotence,im.pot.ence,im.pot.ent; impotency
frigidity,,frigid; rigid; fridge
contagion,,contagious; infection
plague,,
runic,run.ic,
hutch,,hatch
cumin,,coming
sprinkle,,spring; sprint; splinter
forfeit,for.feit,sur.feit
lien,li.en,linen; liege
foreclosure,,foreclose; closure; close; fore; foreign
collateral,col.later.al,bi.later.al
mortgage,,mortuary
ransom,,
subvention,,subsidy
premium,pre.mi.um,excess
fare,fare,fair
dividend,di.vi.dend,di.vi.sor
gratuity,,gratu
rebate,,debate; probate; abate
expenditure,,expend; expensive; expense
levy,,levi
capitation,capit.ation,capit.al; capit.ul.ation; de.capit.ation; de.capit.ate; capti.vating; captive
exchequer,ex.che.quer,che.que; check
revenue,re.ve.nue,ven.ue; a.ven.ue
deficit,,deficiency; defect
reimburse,re.im.burse,dis.burse; re.stitute; in.dem.nifi.cation; purse; restitution; reimbursement; pocket; reparation
incumbent,in.cumb.ent,en.cumb.er; cu.cumb.er
liability,li.ability,re.li.ability; collateral
absolve,ab.solve,dis.solve; ab.rogate; exemption
abrogate,ab.rog.ate,pre.rog.ative; ar.rog.ate; absolve
abode,abode,bode; abide; adobe; premises; domicile
ablaze,ablaze,blaze
pert,,perk
dice,,
perky,perky,perk; pert
perk,perk,perky; pert
legion,,regiment
privilege,priv.il.ege,priv.ate; privy
prerogative,pre.rog.ative,rog.ue; ar.rog.ant; de.rog.atory; sur.rog.ate; per.quisite
perquisite,per.quis.ite,ex.quis.ite; re.quis.ite; dis.quis.ition; pre.rog.ative; perk
heritage,her.it.age,inherit; heredity; heir; heiress; hierarchy
bequest,,quest
denomination,de.nomin.ation,de.nomin.ation.al; de.nomin.ator; nomin.ation; nomin.al
bullion,bull.ion,bill.ion; mill.ion
lucre,lucre,lucr.ative; pelf
pelf,pelf,pilfer; lucre
extort,ex.tort,ex.tort.ion; tort.ure; ex.ert.ion
graft,,
embezzle,em.bezz.le,pil.fer
appropriation,ap.propri.ation,im.propri.ety; proper.ty; apropos.ity; ation
peculate,pecu.late,pecu.ni.ary; im.pecu.ni.ous; penu.ry; speculate
honorarium,honor.ar.ium,honor.ary
emolument,e.molu.ment,e.mul.sion; e.molli.ent; honor.ar.ium
remunerate,re.muner.ate,am.muni; tions; tion
requite,re.quite,re.quit.al; e.quity; ac.quit.tal; re.quire; re.quis.ite; reprisal; quite
requital,re.quit.al,re.quite; e.quity; re.quire; re.pris.al
indemnification,in.dem.nifi.cation,reimburse; reimbursement; pocket; reparation; restitution
compensation,com.pens.ation,pens.ion; ex.pens; re.muner.ate
reparation,re.par.ation,re.par; re.pair; re.stitution; ation; paralysis
restitution,re.sti.tu.tion,con.sti.tu.tion; in.sti.tu.tion; de.sti.tu.tion; destitute; reparation; indemnification
inventory,inventory,invent; manifest
manifest,mani.fest,mani.festo; fester; fest
discography,,
lager,lag.er,
ledger,ledger,ledge; General
auspices,au.spic.es,au.spic.ious
hilt,,halt; haft; helve
haft,,hilt; helve
lance,lance,lancet; freelance
trunk,,
truncheon,,NAmE; usually; night; stick; chunk
sabre,,saber; sable
stiletto,,stilt
espionage,es.pion.age,pion.age; pion.eer
ultimatum,ul.tim.atum,ul.tim.ate; ul.tra
carnival,,
devour,,
herbivore,herb.i.vore,carn.i.vore; herbaceous
carnivore,carni.vore,carni.val; de.vour; herbi.vore; can.nib.al
carnage,,carnival
massacre,,mass; massive; acre
hecatomb,heca.tomb,heca; tomb; hect; catacombs
holocaust,holo.caust,holo.graph; cause
duo,duo,duel; trio; quartet
duel,du.el,du.et
reprisal,re.pris.al,re.prise; ap.prais.al; re.quite; re.pri.eve; price; requital; reprimand
anatomy,ana.tomy,di.cho.tomy; epi.tome
induction,,deduction
crescent,cre.scent,scent
recruit,recruit,conscript
sentinel,sen.tin.el,sen.try
sentry,,sentinel
cordon,cord.on,
chivalry,chivalry,cavalry; cavalier; cavalcade
cavalry,caval.ry,chival.ry
cavalcade,caval.cade,caval.ry; chival.ry
misfortune,mis.for.tune,for.tune; hapless
agony,,
anguish,ang.uish,languish
woe,woe,betide
twinge,twin.ge,pinch
toil,toil,toil.et; soil; boil; foil
travail,trav.ail,trav; trivial; tribulation; great; trouble; suffering
poignant,poign.ant,point
parturition,part.ur.ition,gest.ation
scourge,scour.ge,cour.age; scrounge; scorch; scorpion
ordeal,or.deal,
pistol,,piston
motor,motor,mortar
mortar,mortar,mortal; motor; pestle
fusillade,fu.sill.ade,in.fil.trate; sill
munitions,,
flak,flak,abwehr; Kanone; flack; flat; flax; flake; flask
artillery,art.ill.ery,
ordnance,,ordinance; ordination; ordinate; inordinate
rout,rout,route; debacle
fiasco,,fiat
skirmish,skirm.ish,squeam.ish; skirt
siege,,
assail,as.sail,un.as.sail.able
foray,,forage
feign,feign,feint; malinger
feint,feint,feign; faint
armistice,arm.ist.ice,truce
incursion,in.cur.sion,in.cur; ex.cur.sion; in.fringe; curse
orifice,ori.fice,of.fice
aperture,,
incise,,incisor; engrave; grave; inscribe; inscription
lace,,
lacerate,,lace; lancet
lesion,le.sion,le.sson
gash,gash,gush; gore
scads,scads,scad; scab
ruck,ruck,rock; rugby
profusion,,plethora; superfluous; more; than; need; want; fusion
dribs and drabs,,
whit,whit,whittle; whim
moderate,,moderator
modicum,mod.ic.um,mod.er.ate
paucity,pau.city,pal.try; scar.city
morsel,,modicum
mite,,
iota,,
discomfit,dis.com.fit,dis.com.fort
logjam,,
stalemate,stale.mate,stale; mate; checkmate
stale,stale,stay; stasis; stagnation; staid; stagnate
impasse,,impassive
quandary,qu.and.ary,qu.and; squ.and.er; morass
predicament,pre.dica.ment,pre.vari.cate; im.pre.cation
adversity,ad.vers.ity,ad.verse; ad.vers.ary; ad.vert.ise; di.vers.ity
tribulation,trib.ul.ation,tribut.ary; tribute
distress,,stress
jejune,,
alien,al.ien,alias
dispense,dis.pense,ex.pense; re.com.pense; dis.perse; dis.pers.al; dis.pose
premises,pre.mis.es,pre.mise; domicile; abode
gulp,gulp,gulf
be devoid of,,
scant,s.cant,cant; scan; slant; with; regard; little
destitute,,restitution; destitution; capitation; privation
penurious,pen.uri.ous,pen.ury; impecuni.ous; pecuni.ary
necessity,ne.cess.ity,ne.cess.ary; re.quis.ite
straitened,,strait
indigent,in.dig.ent,pro.dig.al; pro.dig.y; indign.ant; indi.gene; indi.genous; destitute
pecuniary,,im.pecuni; peculate; penury; penurious
impecunious,im.pecuni.ous,pecuni.ary; penurious
famine,,fame
privation,priv.ation,de.priv.ation; de.stitute
penury,pen.ury,penny; indigent
rent,rent,rend; lend; lent
interstice,inter.st.ice,sol.st.ice
fissure,fiss.ure,fiss
hiatus,hi.at.us,
cleft,cleft,creator; left; cliff; crevice
crevice,crev.ice,crev.asse; fiss.ure; cleft
crevasse,crev.asse,crev.ice; esse; vase
slither,,
slit,slit,slot; eyed
schism,,school; scheme; schema
Vega,,Uyghur
observer,,observatory
routine,rout.ine,rout; route
vein,,venous
artery,,artillery; aorta; vein
aorta,,artery; artillery
sledge,sledge,sled; slide; sledgehammer; hammer
impediment,,expediency
hurl,,hurdle
hurdle,hurd.le,hurt; hurl; huddle
stilt,,still; stiletto
semaphore,,semantic; metaphor
filament,,fila
tin,,
tinder,tin.der,tin.ker; with
superfluous,super.flu.ous,pro.fusion; ple.tho.ra; ex.cessive; ex.ig.uous
foundry,foun.dry,found
futile,,
otiose,,
bounteous,bount.eous,bount.y; bount.iful; hunter
copious,copi.ous,copy
gilded,,gild; geld
prosper,pro.sper,de.sper.ate
lush,lush,rush; plush
surplus,,deficit
redundant,,
surfeit,,forfeit; sufficiency
exertion,ex.ert.ion,in.ert; in.ert.ia; force; extortion; excerpt
opus,op.us,op.ul.ence
opulent,opu.lent,corpu.lent; lend; opus; opulence; luxurious; affluent; formal
replete,,com.plete
teem,,team; replete; with
graffiti,graf.fiti,graph; graft; giraffe; doodle
cavity,cav.ity,cave; caval; cavalry; cavalier
clot,,curd
gore,gore,
scab,,scads; scad
callus,call.us,call; cactus
saliva,sa.li.va,salivate
slaver,,
slobber,slobber,slurp; salivate; formal; slaver; infatuated; with; over; swoon
insulin,in.sul.in,in.sul.ar
hormone,,
pepsin,,
bile,,bili.ous
incretion,,
dimple,,
countenance,counte.nance,count; counte; nance
complexion,,complex; xion; tion; countenance
psychosomatic,,
somatic,somatic,some; psychosomatic
chromosome,chromo.some,chrom.ium; chrome
membrane,,
leukemia,leuk.em.ia,leuco.cyte
corpuscle,corp.us.cle,corp.se
pupil,,
iris,,
appendix,ap.pend.ix,
bowling,,bowl
bowl,bowl,bowl.ing; bowel; bower
bowel,,bowl; towel
flatus,,flatulence
sphygmus,sphyg.mus,a.sphyx.ia; esophagus
cadaver,,
torso,,
ligament,,liga.ture
sinew,sinew,sinewy
brew,,
brawn,brawn,brain; brawny; burly; prawn; brew; brown
rib,,
temple,temple,templ.ate; con.templ.ate; temper.ate; tempor.ary
auricle,au.ri.cle,o.ra.cle; au.ral; lobe
bronchus,,brown; bronch; branch; bronchi; bronchitis
lobe,,robe
teat,,
viscera,vi.sce.ra,visc.ose; pancreas; weasel; viscid
gourd,,gourmet; gourmand
cerebellum,cere.bell.um,cere.br
cerebrum,cere.brum,cere.bral; cere.bellum
intestine,in.test.ine,test.ic.le; small; large
pancreas,pan.creas,creat
splenetic,sple.ne.tic,split; spleen; speleology
spleen,sple.en,n.etic; pancreas; sple
palate,palate,palat.able; pal.ette; remember; tongue; cling; roof; exalt; Jerusalem; above; chief
hunchback,hunch.back,huckle.back; huck.ster; heckle; hunch
abdomen,,abdominal; surgery
larynx,lary.nx,laryngitis
faucet,fau.cet,fault
esophagus,eso.phag.us,astro.phage; gullet; windpipe; trachea; phag
dentures,dent.ures,in.dent; in.dent.ure; in.dent.ation
incisor,in.cis.or,in.cise; engrave
molar,,mortar; mole
memorial,,memory
testimonial,,testimony
laurel,lau.rel,lau.re.ate; Laura
garland,,wreath; garand
loot,,
trophy,trophy,wife; trope
souvenir,,subvenire; vent
memento,me.men.to,memoir
archetype,arche.type,arch; angel; archaeology; arche
gauge,gauge,gage; gouge
showpiece,,sampler
specimen,,spec.ial
apotheosis,,apo.the.cary
paragon,par.agon,agon
surname,,
cognomen,cogno.men,cogni.tive; cogn
anonymity,ano.nym.ity,anonymous
pseudonym,pseudo.nym,
incognito,,cogn
epithet,epi.thet,that
sobriquet,so.bri.quet,bou.quet; ban.quet
designation,,re.sign.ation
appellation,ap.pell.ation,appellant; appellate
down,,
hypodermic,hypo.derm.ic,hypo; derm; hypothermia; hypocrite; hypothetical; epidermis; taxidermy
epidermis,epidermis,taxidermy; hypodermic
cuticle,,
scalp,scalp,scalp.el; scrap
fetus,,embryo
embryo,em.bry.o,zygote; goat; enzyme
gustation,gust.ation,gusto; savour; gust
savour,savour,gustation; verve; gusto
relish,re.lish,relief
incense,in.cense,cens.er; cens.us; cens.ure; in.cent.ive; cense
fragrance,,aroma; fragrant; fragment
aroma,a.Roma,Roma; Rome; aurora; fragrance
bouquet,,boutique
stench,,stink; reek; stenography; stentorian
stink,,reek
odor,,odour
fumes,,fume
piston,,pistol
radiator,,radio
steering,,steer
muffler,muff.ler,muff.le; muff.in; silenc.er
chassis,chass.is,
bumper,,bump; bummer
rationale,,rational; ratio; ration
tenet,ten.et,ten.ant; ten.or
idiom,,idiot
proverb,pro.verb,epigram; aphorism; saying; maxim; adage; verb
dictum,dict.um,pod.ium; doctrine
motto,,
truism,,
precept,pre.cept,per.cept.ion; preceptor; forceps; inception
adage,ad.age,goes; Honesty; best; policy; Better; late; than; never; epigram; aphorism; saying; maxim; proverb
axiom,,maxim; axis
gnome,gn.o.me,
maxim,maxim,broke; axiom; epigram; aphorism; saying; adage
shipwright,,
cartwright,cart.wright,cart.ographer
cartographer,carto.graph.er,cart; wright
illustrator,il.lustr.ator,il.lustr.ate; lustr.ous; il.lustr.ious; lust
adaptor,,adapter; adept
playwright,,cartwright; wright; right
lampoon,lamp.oon,buff.oon; harp.oon; sarcasm
poetaster,poet.aster,aster.isk; poet; doggerel
bard,,barber
minstrel,min.str.el,underling; minion
conjure,conjure,vi.vt; jure; jury; abjure; injure; perjure
acrobat,,
percussionist,per.cussion.ist,dis.cussion
ballerina,,
tragedian,traged.ian,traged; tragedy
antagonist,an.tagon.ist,an.tagon; an.tagon.ism
villain,vill.ain,capt.ain; vill.age; villa
personage,,dignitary; personal; personnel
vocalist,voc.al.ist,
canary,can.ary,
connoisseur,con.nois.seur,con.nois; seur
virtue,,merit
virtuoso,,virtue
maestro,mae.stro,
athlete,,
impresario,im.pres.ario,im.pres.sive; scen.ario; loth.ario; ont.ario; mario
creed,Creed,Nicene; screed; decree
anhedonia,an.hedon.ia,dys.phor.ia; hedonist
incentive,in.cent.ive,in.cent; inducement
gust,gust,gusto; gustation
affinity,af.fin.ity,af.fin; in.finity; fraternity
mentor,,
sanguine,san.guine,sang.froid; con.san.guini.ty
consanguinity,con.san.gui.nity,
minion,mini.on,mini
underling,,underline
subordinate,sub.ordinate,in.ordinate; co.ordinate; subsidiary
fraternity,,
lessee,less.ee,lessor; lease; lasso
lessor,less.or,less.ee; lease
respondent,re.spond.ent,de.spond.ent; cor.respond.ent; respon.sive
defendant,defend.ant,respondent; plaintiff
appellant,ap.pell.ant,ap.pe; ap.pell.ation; re.pell.ent; com.pell.ing; plea
litigant,lit.ig.ant,ig.ant; liturgy
attorney,at.torn.ey,sol.icit.or; tear; torn
accomplice,,com.plic.ate; police
apologist,apo.lo.gist,
apology,a.polo.gy,
zealot,,
votary,vot.ary,vote
booster,,bolster
proponent,pro.pon.ent,ex.pon.ent; op.pon.ent
exponent,ex.pon.ent,
protagonist,pro.tag.on.ist,an.tag.on.ist
adversary,ad.vers.ary,ad.vers.ity; uni.vers.ity
opponent,,proponent
matador,,checkmate; stalemate
gladiator,glad.iator,glid.er; glade; glad
mannequin,man.ne.quin,man.acle; harle; quin
lichen,,moss
profligate,pro.flig.ate,af.flict; in.flict; con.flict; frigate; flig
prodigal,pro.dig.al,pro.digy; in.dig.ent
dandy,,
libertine,liber.tine,liber.ate
beneficiary,bene.fici.ary,bene.fact.or
benefactor,bene.factor,bene.ficiary; donor; donator; factor
defaulter,de.fault.er,de.fault
novice,nov.ice,nova; neophyte
sluggard,slug.gard,slug.gish; brag.gart
sloven,,ruffian; raffish
layman,layman,laymen; laity
the laity,,the.lai.ty
amateur,,
adept,,adapter
rookie,roo.kie,coo.kie; recruit
neophyte,neo.phyte,xero.phyte; halo.phyte; proselyte
greenhorn,,
fledgling,fledg.ling,fledg.ed; plume
gosling,gos.ling,goose; gander
cub,cub,curb
stripling,strip.ling,stripp.er; sap.ling
sapling,,
progeny,pro.gen.y,pro.gen.it.or; scion
scion,,
progenitor,pro.gen.itor,pro.gen.y; gen.itals
spouse,spouse,espouse; spousal
disciple,dis.cip.le,dis.cip.line; ap.prent.ice; prent.ice; protege
preceptor,pre.cept.or,re.cept.or; pre.cept; reception
confidant,,confident
stowaway,,stow; getaway
equestrian,e.ques.trian,e.ques; ques.tion; trian; destri; train
pedestrian,,equ.es.trian
solitary,solit.ary,solid.ary; solid.arity
recluse,re.cluse,close; solitary; hermit; cloister
hermit,,re.cluse
aspirant,a.spir.ant,a.spire; a.spir.ation; re.spire; per.spire; spir.ant; con.spir.ator
stoic,,
celibate,ce.lib.ate,ce.lib.acy; celebrate
doctrinaire,doc.trin.aire,doc.trine; question.naire; concession.aire; million.aire; didactic
harry,,
harbinger,har.bing.er,
avant-garde,,av.ant; gar.de; vanguard; avon
vanguard,,avant; garde
iconoclast,icono.clast,biblio.clast
maverick,mave.rick,lime.rick; maven; marvel
nonconformist,,conform; confirm; reform
pedant,ped.ant,pend.ant; pen.nant
dissident,dis.sid.ent,dissenter; dissent
dissenter,dis.sent.er,dis.sid.ent
stickler,stick.ler,stick; punctuality
extrovert,,intro.vert; extravert
introvert,intro.vert,extor.vert
sage,,saga
sapient,sapi.ent,sap.ling; homo; sapiens
savant,sav.ant,ped.ant; save
polyglot,,gloss.ary
nonpareil,,unrivalled
prodigy,pro.digy,prodigal; indigent; progeny
glutton,glut.ton,glut.en; cose
gourmand,gour.mand,gour.met; repri.mand; com.mand; epi.cure
gourmet,gour.met,gour.mand; epicure
epicure,epi.cure,pro.cure; se.cure; obs.cure; gour.met; gour.mand; epi.curean
lapidary,lap.id.ary,di.lap.id.ated
bibliophile,biblio.phile,paedo.phile; bible
philatelist,phi.late.list,phil.ate; late; list
numismatics,,
ostrich,,
snoop,Snoop,Snoopy
brow,brow,borrow; brown
highbrow,high.brow,high; brow; lowbrow; middlebrow; brown
snob,snob,snub
glean,glean,clean; lean; garner; gather
herdsman,herds.man,wr.angler
yokel,yokel,yoke; yolk; yelk; folk; volk
philistine,phil.ist.ine,
chandler,chand.ler,chande.lier
vintner,vint.ner,vint.age; vine
vintage,vint.age,vint.ner; vine
peddler,pedd.ler,todd.ler; pebb.le; huck.ster
vendor,,
profiteer,,fro.fit
mill,,
raconteur,,re.count.er
heckle,heck.le,huckle.back; hustle; impugn
flagellum,,flag.ell
flagellant,flag.ell.ant,flag.ell.um
detractor,de.tract.or,de.rog.atory; pro.tract; pro.tract.or; con.tract
perfectionist,,
curator,,
janitor,,
custodian,,custody; custom
warden,ward.en,ward.robe
usher,,
retinue,re.tinue,con.tinue
factotum,,
fag,,
thrall,,throw
manor,Manor,maner; mansion; Downtown; Abbey
menial,,amenable
chiropodist,chiro.pod.ist,pod.iatry; chir.al; chiro.mancer; chiropody
cobbler,cobbler,cobble.stone; dough; tart; together; hobble; coddle
aviatrix,avia.trix,aviator; pilot
tanner,tan.ner,tan.nin
bridegroom,,room; groom; gloom; gloomy
groom,groom,bride.groom; broom; gloom
spelunker,spe.lun.ker,speleology; splenetic; splendid
dietitian,diet.i.tian,dietetics
agronomist,agro.nomist,agronomy; agricultural
pollster,,poll; huckster
fester,,faster; fetter; infest; infect
polarization,,
referee,refer.ee,refer; umpire
lionize,lion.ize,leo.nine
freewheeling,,
uphold,,toehold
progressive,,
stalwart,stal.wart,th.wart; bul.wark; thwarted; stall; steadfast; staunch
pawn,pawn,spawn; prawn
prune,,
amputee,am.put.ee,
voluptuary,vol.up.tu.ary,
coddle,,cuddle; cobbler
magpie,,
hustler,hustle.r,hustle; rustler; ustler
hustle,hu.stle,stle; hustler; heckle
rustler,,rust; hustler
rustle,,rust
arson,,arsenal
felon,felon,felony
convict,,verdict
crank,,
fickle,fick.le,fidd.le; caprice; skittish; fidget
fidget,fid.get,fickle; fiddle
crab,,crap
rogue,rogue,pre.rog.ative; rogere; vogue
hooligan,hooligan,hoop; hoopla
miscreant,,recreant
mendicant,mend.ic.ant,mend.ic; emendation
grove,grove,grovel; glove
grovel,,grove
plebeian,ple.be.ian,be.ian; pro.le; tar.ian
involution,,
supplicant,sup.plic.ant,ap.plic.ation; com.plic.ate; implore; supplant
pariah,,
proletarian,pro.le.tar.ian,ple.be; proletariat; bourgeoisie
hack,,
ancillary,,
lackey,lack.ey,lanky; lack
sheriff,she.riff,cl.iff; magistrate
adjutant,ad.jut.ant,from; over
potentate,pot.ent.ate,pot.ent.ial; im.pot.ent; port.ent
magistrate,ma.gi.str.ate,str.ate; gist
meretricious,mere.tric.ious,trick; mere
succubus,suc.cub.us,in.cub.us; con.cub.ine; suck
incubus,in.cub.us,suc.cub.us
concubine,con.cub.ine,in.cub.us
nymph,,
imbecile,,
ignoramus,ig.nor.amus,ig.nor.ant; hippo.pot.amus; person
twit,,twig; twat; taboo; slang
dupe,dupe,dolt
moron,,
cripple,,ripple
gargoyle,,
dwarf,dwarf,gnome
pygmy,,
midget,,
scrub,sc.rub,sh.rub
wrath,,wraith; rage
poser,pos.er,pos.eur; pose
octogenerian,octo.gener.ian,gener.ation; gener.al; octo
imp,,
neonate,,
coward,,
craven,craven,crave; raven
clientele,client.ele,
huddle,,ruck; hurdle; cuddle
rabble,rabble,rabbit; rubble
electorate,,elector
constituent,con.stitu.ent,con.stitute; con.stitu.tion
denizen,deni.zen,citi.zen; deny; danny
multitude,multi.tude,multi.ple; multiply
populace,popul.ace,popul.ist; popul.ar; plebeian
literati,,literal
luminary,,
socialite,social.ite,personage
mogul,,
laureate,laure.ate,laurel
upstart,,startup
venue,ven.ue,re.ven.ue; a.ven.ue
parvenu,par.venu,re.ven.ue; ven.ue; a.ven.ue
patrician,pa.tri.cian,Pa.tri.ck; pa.tri.ot; pa.tri
magnet,mag.net,
magnate,magn.ate,magn.itude; magn.ific.ent; magn.et; magpie
tycoon,ty.coon,co.coon; ra.coon; rac.coon; typhoon
heiress,heir.ess,heir
heir,heir,heiress
executor,,executioner; execute; executive
executive,exe.cut.ive,
executioner,exe.cut.ion.er,exe.cut.ion; exe.cute; exe.cut.or
functionary,,
emissary,e.miss.ary,e.miss.ion; e.mit; en.voy
emperor,emp.er.or,emp.ire; emp.ty
imperial,,
jurist,,
imperative,im.per.ative,im.peri.al; im.peri.ous
mercenary,mer.cen.ary,mer.ch; mer.cy
charlatan,char.la.tan,sa.tan; ti.tan
quack,,quick
impostor,im.post.or,im.post; im.pose; tariff; poser
fraud,fraud,forgery; pergery
malinger,,
martinet,mar.tin.et,mar.tin
braggart,brag.gart,nig.gard; slug.gard; lag.gard; informal; blowhard; fashioned; gart; brag
blowhard,,
ingrate,in.grate,grate.ful; grat
toady,toady,toad
fig,fig,figure
sycophant,,
lech,lech,leech; lunch; latch; lecher; leer
lecher,,
prude,prude,prud.ent; prig; pride; impudent; impertinent
prig,p.rig,rig.or; rig.orous; p.rude
philanthropist,phil.anth.rop.ist,mis.anth.rope; anth.rop.ology
misanthrope,mis.anth.rope,anth.rop; phil.anthrop.ist; rope
vagrant,vag.rant,vag.ue
arbiter,ar.bit.er,ar.bitr.ator; ar.bitr.ary
intermediary,inter.media.ry,media.ry; inter
interlocutor,,intermediary; locution
arbitrator,arbi.tra.tor,trait.or; arbi.ter; arbi.trary
pacifier,paci.fier,paci.fic; ocean
moderator,,moderate; arbitrator
umpire,,em.pire; referee
surrogate,sur.rog.ate,pre.rog.ative; rog.ue; ar.rog.ant; de.rog.atory; delegate
proctor,pro.CT.or,procurator
presenter,pre.sent.er,pre.sent; pre.sent.ation; dis.sent.er
rucksack,ruck.sack,ran.sack; rugby; ruck
sifter,,sieve
sieve,,sifter
ewe,ewe,ewer
ewer,,pitcher
cistern,,
flask,,
renegade,re.neg.ade,neg.ative; re.leg.ate; negotiate
apostate,apo.state,pro.state; apo.strophe; renegade
conspirator,,conspiracy; conspire; aspirant; spirant
mutineer,,
malcontent,mal.con.tent,con.tent
mango,,
warmonger,war.mong.er,mong.er; fishmonger; mong
cadet,,cadre
herald,her.ald,emer.ald; don.ald
veteran,veter.an,veter
gorilla,gor.illa,van.illa; guerr.illa; bo.nobo; chim.pan.zee; ella; elle
infantry,,infant
