2026-06-22 22:54:49,802 | [info] URL 已推送到历史 | url=http://localhost:8000/?word=*pig*&back_word=pig
2026-06-22 22:54:49,802 | [info] htmx 请求完成 | url=http://localhost:8000/?word=*pig*&back_word=pig
2026-06-22 22:55:04,244 | [info] htmx 请求开始 | url=http://localhost:8000/?word=*pig*&back_word=pig
2026-06-22 22:55:04,244 | [info] URL 已推送到历史 | url=http://localhost:8000/?word=pigeon&back_word=*pig*
2026-06-22 22:55:04,244 | [info] htmx 请求完成 | url=http://localhost:8000/?word=pigeon&back_word=*pig*
2026-06-22 22:55:04,244 | [info] 选中文本触发模式搜索 | url=http://localhost:8000/?word=pigeon&back_word=*pig*
2026-06-22 22:55:04,244 | [info] 选中文本触发模式搜索 | url=http://localhost:8000/?word=pigeon&back_word=*pig*
2026-06-22 22:55:04,244 | [info] htmx 请求开始 | url=http://localhost:8000/?word=pigeon&back_word=*pig*
2026-06-22 22:55:04,244 | [info] URL 已推送到历史 | url=http://localhost:8000/?word=*eon*&back_word=*pig*
2026-06-22 22:55:04,244 | [info] htmx 请求完成 | url=http://localhost:8000/?word=*eon*&back_word=*pig*
2026-06-22 22:55:09,255 | [info] 回车搜索 | url=http://localhost:8000/?word=*eon*&back_word=*pig*
2026-06-22 22:55:14,253 | [info] htmx 请求开始 | url=http://localhost:8000/?word=*eon*&back_word=*pig*
2026-06-22 22:55:14,253 | [info] URL 已推送到历史 | url=http://localhost:8000/?word=*eon
2026-06-22 22:55:14,253 | [info] htmx 请求完成 | url=http://localhost:8000/?word=*eon
